URL,repo,Phase,Symptom(s),Unexpected Tokens,Component,Root Cause(s)
https://github.com/ggml-org/llama.cpp/issues/10285,Llama.cpp,Inference/Serving,Unexpected Output,,Model Loader,Incorrect Algorithm Implementation
https://github.com/ggml-org/llama.cpp/issues/10176,Llama.cpp,Inference/Serving,Crash,,Resource Manager,Incorrect Resource Allocation
https://github.com/ggml-org/llama.cpp/issues/10165,Llama.cpp,Inference/Serving,Crash,,Operators,Incorrect Algorithm Implementation
https://github.com/ggml-org/llama.cpp/issues/9978,Llama.cpp,Inference/Serving,Crash,,Operators,Incorrect Algorithm Implementation
https://github.com/ggml-org/llama.cpp/issues/9851,Llama.cpp,Inference/Serving,Crash,,Setup Tools,Incompatible Backend
https://github.com/ggml-org/llama.cpp/issues/9766,Llama.cpp,Inference/Serving,Crash,,Operators@@Operators,Incompatible Backend@@Incorrect Algorithm Implementation
https://github.com/ggml-org/llama.cpp/issues/9727,Llama.cpp,Inference/Serving,Crash,,Backend Adapter,Incorrect Algorithm Implementation
https://github.com/ggml-org/llama.cpp/issues/9692,Llama.cpp,Model Conversion,Feature Failure,,Model Conversion Tools,Incompatible Model
https://github.com/ggml-org/llama.cpp/issues/9356,Llama.cpp,Inference/Serving,Crash,,Operators,Incorrect Algorithm Implementation
https://github.com/ggml-org/llama.cpp/issues/9337,Llama.cpp,Inference/Serving,Crash,,Resource Manager,Incorrect Cache Management
https://github.com/ggml-org/llama.cpp/issues/9245,Llama.cpp,Model Conversion,Silent Error,,Model Conversion Tools,Misused API
https://github.com/ggml-org/llama.cpp/issues/8798,Llama.cpp,Inference/Serving,Crash,,Operators,Mismatched Shape
https://github.com/ggml-org/llama.cpp/issues/8211,Llama.cpp,Engine Setup,Crash,,Backend Adapter,Incompatible Backend
https://github.com/ggml-org/llama.cpp/issues/7923,Llama.cpp,Model Conversion,Crash,,Model Conversion Tools,Misused API
https://github.com/ggml-org/llama.cpp/issues/7897,Llama.cpp,Model Conversion,Crash,,Model Conversion Tools,Misused API
https://github.com/ggml-org/llama.cpp/issues/7855,Llama.cpp,Inference/Serving,Feature Failure,,Request Parser,Incorrect Type
https://github.com/ggml-org/llama.cpp/issues/7492,Llama.cpp,Inference/Serving,Feature Failure,,Backend Adapter,Misused API
https://github.com/ggml-org/llama.cpp/issues/7217,Llama.cpp,Inference/Serving,Abnormal Performance,,Resource Manager,Incorrect Cache Management
https://github.com/ggml-org/llama.cpp/issues/7133,Llama.cpp,Inference/Serving,Crash,,Request Parser,Incorrect Request Parsing
https://github.com/ggml-org/llama.cpp/issues/7048,Llama.cpp,Inference/Serving,Unexpected Output,Semantic Coherence,Backend Adapter,Incorrect Algorithm Implementation
https://github.com/ggml-org/llama.cpp/issues/6836,Llama.cpp,Model Conversion,Silent Error,,Model Conversion Tools,Incompatible Model
https://github.com/ggml-org/llama.cpp/issues/6774,Llama.cpp,Inference/Serving,Crash,,Model Loader,Incompatible Model
https://github.com/ggml-org/llama.cpp/issues/6672,Llama.cpp,Inference/Serving,Crash,,Model Loader,Incompatible Model
https://github.com/ggml-org/llama.cpp/issues/6654,Llama.cpp,Model Conversion,Feature Failure,,Model Conversion Tools,Incorrect Algorithm Implementation
https://github.com/ggml-org/llama.cpp/issues/6634,Llama.cpp,Model Conversion,Feature Failure,,Model Conversion Tools,Incorrect Algorithm Implementation
https://github.com/ggml-org/llama.cpp/issues/6604,Llama.cpp,Engine Setup,Crash,,Setup Tools,Incompatible Backend
https://github.com/ggml-org/llama.cpp/issues/6251,Llama.cpp,Inference/Serving,Feature Failure,,Monitor & Logger,Misused API
https://github.com/ggml-org/llama.cpp/issues/6112,Llama.cpp,Inference/Serving,Crash,,Output Processor,Incorrect Formatting
https://github.com/ggml-org/llama.cpp/issues/5876,Llama.cpp,Inference/Serving,Feature Failure,,Output Processor,Misused API
https://github.com/ggml-org/llama.cpp/issues/5724,Llama.cpp,Inference/Serving,System Hang,,Request Parser@@Request Parser,Incorrect Exception Handling@@Incorrect Request Parsing
https://github.com/ggml-org/llama.cpp/issues/5655,Llama.cpp,Inference/Serving,Crash,,Job Manager,Concurrency Issue
https://github.com/ggml-org/llama.cpp/issues/5496,Llama.cpp,Inference/Serving,Unexpected Output,Character,Input Processor,Incorrect Algorithm Implementation
https://github.com/ggml-org/llama.cpp/issues/5383,Llama.cpp,Inference/Serving,System Hang,,Operators,Incorrect Algorithm Implementation
https://github.com/ggml-org/llama.cpp/issues/5247,Llama.cpp,Inference/Serving,Feature Failure,,Job Manager,Concurrency Issue
https://github.com/ggml-org/llama.cpp/issues/5243,Llama.cpp,Inference/Serving,Unexpected Output,Repetition,Backend Adapter,Incorrect Algorithm Implementation
https://github.com/ggml-org/llama.cpp/issues/5241,Llama.cpp,Inference/Serving,Unexpected Output,Semantic Coherence,Backend Adapter,Incorrect Algorithm Implementation
https://github.com/ggml-org/llama.cpp/issues/5179,Llama.cpp,Inference/Serving,Unexpected Output,Character,Backend Adapter@@Backend Adapter,Misused API@@Incompatible Backend
https://github.com/ggml-org/llama.cpp/issues/5156,Llama.cpp,Model Conversion,Crash,,Model Conversion Tools,Incorrect Algorithm Implementation
https://github.com/ggml-org/llama.cpp/issues/5140,Llama.cpp,Inference/Serving,Crash,,Resource Manager,Mismatched Shape
https://github.com/ggml-org/llama.cpp/issues/5137,Llama.cpp,Inference/Serving,Abnormal Performance,,Operators,Incorrect Algorithm Implementation
https://github.com/ggml-org/llama.cpp/issues/4991,Llama.cpp,Inference/Serving,Unexpected Output,Repetition,Operators,Incorrect Algorithm Implementation
https://github.com/ggml-org/llama.cpp/issues/4952,Llama.cpp,Inference/Serving,Crash,,Backend Adapter,Dependent Module Issue
https://github.com/ggml-org/llama.cpp/issues/4476,Llama.cpp,Inference/Serving,System Hang,,Request Parser,Misused API
https://github.com/ggml-org/llama.cpp/issues/4296,Llama.cpp,Inference/Serving,Crash,,Backend Adapter,Incorrect Algorithm Implementation
https://github.com/ggml-org/llama.cpp/issues/4048,Llama.cpp,Inference/Serving,Unexpected Output,Inconsistent Output,Input Processor,Incorrect Tokenization
https://github.com/ggml-org/llama.cpp/issues/4038,Llama.cpp,Inference/Serving,Crash,,Model Conversion Tools,Incompatible Model
https://github.com/ggml-org/llama.cpp/issues/4036,Llama.cpp,Inference/Serving,Unexpected Output,Character,Output Processor,Incorrect Detokenization
https://github.com/ggml-org/llama.cpp/issues/4005,Llama.cpp,Inference/Serving,Unexpected Output,Semantic Coherence,Operators,Incorrect Algorithm Implementation
https://github.com/ggml-org/llama.cpp/issues/3858,Llama.cpp,Inference/Serving,Abnormal Performance,,Operators,Incorrect Algorithm Implementation
https://github.com/ggml-org/llama.cpp/issues/3840,Llama.cpp,Inference/Serving,Feature Failure,,Resource Manager,Incorrect Cache Management
https://github.com/ggml-org/llama.cpp/issues/3825,Llama.cpp,Inference/Serving,Silent Error,,Resource Manager,Incorrect Cache Management
https://github.com/ggml-org/llama.cpp/issues/3821,Llama.cpp,Inference/Serving,Feature Failure,,Job Manager,Concurrency Issue
https://github.com/ggml-org/llama.cpp/issues/3820,Llama.cpp,Inference/Serving,Unexpected Output,Length,Resource Manager,Incorrect Cache Management
https://github.com/ggml-org/llama.cpp/issues/3806,Llama.cpp,Inference/Serving,Abnormal Performance,,Backend Adapter,Incorrect Algorithm Implementation
https://github.com/ggml-org/llama.cpp/issues/3801,Llama.cpp,Inference/Serving,Crash,,Input Processor,Incorrect Algorithm Implementation
https://github.com/ggml-org/llama.cpp/issues/3799,Llama.cpp,Inference/Serving,Abnormal Performance,,Backend Adapter,Incompatible Backend
https://github.com/ggml-org/llama.cpp/issues/3798,Llama.cpp,Inference/Serving,System Hang,,Operators,Incompatible Backend
https://github.com/ggml-org/llama.cpp/issues/3789,Llama.cpp,Model Conversion,Crash,,Model Loader,Incompatible Model
https://github.com/ggml-org/llama.cpp/issues/3783,Llama.cpp,Model Conversion,Crash,,Model Conversion Tools,Incompatible Version
