instance_id,issue_url,pr_url,issue_title,difficulty,phase,symptoms,component,root_causes,num_source_files,source_additions,source_deletions,num_test_files,base_sha
vllm__10324__10164,https://github.com/vllm-project/vllm/issues/10324,https://github.com/vllm-project/vllm/pull/10164,"[Bug] custom chat template sends to model [{'type': 'text', 'text': '...'}]",hard,Inference/Serving,Unexpected Output,Request Parser,Misconfiguration,2,108,34,1,803f37eaaa11568f65acbf0bcd1044fb9b1610bf
vllm__10693__10705,https://github.com/vllm-project/vllm/issues/10693,https://github.com/vllm-project/vllm/pull/10705,[Bug]: MambaCacheManager Can Possibly Run Out of Free Slots,medium,Inference/Serving,Crash,Resource Manager,Concurrency Issue,2,10,4,2,e2251109c746f0d08ab9b37b5abcf44ca105d426
vllm__2059__2088,https://github.com/vllm-project/vllm/issues/2059,https://github.com/vllm-project/vllm/pull/2088,mixtral-8x7B-Instruct-v0.1 giving garbage output on long prompts,medium,Inference/Serving,Unexpected Output,Input Processor,Incorrect Algorithm Implementation,1,6,6,4,096827c2846e7a769cf20e34c46b8eada444cc1e
vllm__2064__2088,https://github.com/vllm-project/vllm/issues/2064,https://github.com/vllm-project/vllm/pull/2088,[BUG] Mistral/Mixtral generate nonsense past 4096 tokens in prompt,medium,Inference/Serving,Unexpected Output,Input Processor,Incorrect Algorithm Implementation,1,6,6,4,096827c2846e7a769cf20e34c46b8eada444cc1e
vllm__3572__3672,https://github.com/vllm-project/vllm/issues/3572,https://github.com/vllm-project/vllm/pull/3672,[Bug]: Should check whether stop sequence appears anyway in the output text instead of just endswith,hard,Inference/Serving,Unexpected Output,Output Processor,Incorrect Algorithm Implementation,5,89,35,3,0258b7a94b08321ca01cf170f867b67c1920af87
vllm__3574__3672,https://github.com/vllm-project/vllm/issues/3574,https://github.com/vllm-project/vllm/pull/3672,[Bug]: During streaming tokens should not be emitted if they could form a stop sequence,hard,Inference/Serving,Unexpected Output,Output Processor,Incorrect Algorithm Implementation,5,89,35,3,0258b7a94b08321ca01cf170f867b67c1920af87
vllm__3593__6751,https://github.com/vllm-project/vllm/issues/3593,https://github.com/vllm-project/vllm/pull/6751,ModuleNotFoundError: No module named 'transformers_modules' with API serving using phi-2b,hard,Inference/Serving,Crash,Model Loader,Dependent Module Issue,3,68,0,1,711f3a7806de8729e8e9cedf04e056c374d8e626
vllm__3707__3731,https://github.com/vllm-project/vllm/issues/3707,https://github.com/vllm-project/vllm/pull/3731,[Bug]: logprobs=0 behavior inconsistent with OpenAI spec,hard,Inference/Serving,Unexpected Output,Output Processor,Misused API,4,5,7,1,d8658c8cc16d67e6690cb0f3f340e365652ce80b
vllm__3793__5036,https://github.com/vllm-project/vllm/issues/3793,https://github.com/vllm-project/vllm/pull/5036,[Bug]: RuntimeError: No suitable kernel. h_in=16 h_out=3424 dtype=Float out_dtype=BFloat16,hard,Inference/Serving,Crash,Operators@@Operators,Incorrect Algorithm Implementation@@Incompatible Backend,38,2138,3783,9,f05840368335aa9c8184239d3c8bd986e44692f7
vllm__3793__5356,https://github.com/vllm-project/vllm/issues/3793,https://github.com/vllm-project/vllm/pull/5356,[Bug]: RuntimeError: No suitable kernel. h_in=16 h_out=3424 dtype=Float out_dtype=BFloat16,hard,Inference/Serving,Crash,Operators@@Operators,Incorrect Algorithm Implementation@@Incompatible Backend,11,767,311,4,16620f439db1f2cc91b5582b59fc8845cbb02881
vllm__3793__5498,https://github.com/vllm-project/vllm/issues/3793,https://github.com/vllm-project/vllm/pull/5498,[Bug]: RuntimeError: No suitable kernel. h_in=16 h_out=3424 dtype=Float out_dtype=BFloat16,easy,Inference/Serving,Crash,Operators@@Operators,Incorrect Algorithm Implementation@@Incompatible Backend,1,8,0,1,0f0d8bc065f3608e7657a9696f5d2d7c0d6722d1
vllm__4019__4079,https://github.com/vllm-project/vllm/issues/4019,https://github.com/vllm-project/vllm/pull/4079,[Bug][ROCm]: Process killed during tensor-parallel inference,hard,Inference/Serving,Crash,Communicator@@Communicator,Incompatible Backend@@Concurrency Issue,6,93,8,1,705578ae14b648782a8a321dd0903c163bd77375
vllm__4054__4197,https://github.com/vllm-project/vllm/issues/4054,https://github.com/vllm-project/vllm/pull/4197,[Bug]: Incorrect Data Type Conversion for MultiModalData,hard,Inference/Serving,Feature Failure,Input Processor@@Input Processor,Incorrect Type@@Misused API,23,858,214,6,dfbe60dc62409f03aa9eebc70ab2582ae64f0e1f
vllm__4100__4105,https://github.com/vllm-project/vllm/issues/4100,https://github.com/vllm-project/vllm/pull/4105,[Bug]: --engine-use-ray is broken.,easy,Inference/Serving,Crash,Engine Initializer,Misconfiguration,1,3,4,1,37e84a403d6d11b670a42e84153204cd8b76b849
vllm__4127__4128,https://github.com/vllm-project/vllm/issues/4127,https://github.com/vllm-project/vllm/pull/4128,[Bug][Chunked prefill]: head size has to be power of two,medium,Inference/Serving,Crash,Operators,Incorrect Conditional Logic,1,27,17,1,a53222544c6385ee314a26fdf42eb14f5b4e5ad9
vllm__4171__4573,https://github.com/vllm-project/vllm/issues/4171,https://github.com/vllm-project/vllm/pull/4573,"[Bug]: Server crash for bloom-3b while use prefix_caching, `AssertionError assert Lk in {16, 32, 64, 128}`",medium,Inference/Serving,Crash,Operators,Incorrect Algorithm Implementation,1,25,16,1,cc466a32903d53d0ceca459b766d74ad668c8f87
vllm__4293__4412,https://github.com/vllm-project/vllm/issues/4293,https://github.com/vllm-project/vllm/pull/4412,[Bug]: Engine iteration timed out. This should never happen occurred when vllm 0.4.1 deployed llama3. ,hard,Inference/Serving,System Hang,Resource Manager,Incorrect Cache Management,67,875,360,15,15aba081f33e6d048422df6dcdb94301d08d13e6
vllm__4339__4355,https://github.com/vllm-project/vllm/issues/4339,https://github.com/vllm-project/vllm/pull/4355,[Bug]: Invalid inputs do not result in error,hard,Inference/Serving,Feature Failure,Request Parser,Incorrect Request Parsing,7,97,55,1,96e90fdeb3c4ebacfe24513556afccb918722b7c
vllm__4362__5233,https://github.com/vllm-project/vllm/issues/4362,https://github.com/vllm-project/vllm/pull/5233,[Bug]: v0.4.1 VLLM_USE_MODELSCOPE not working,medium,Inference/Serving,Feature Failure,Engine Initializer,Incorrect Type,2,11,2,1,f775a07e30fdeafc14f53fe502b262b00540dd71
vllm__4365__4389,https://github.com/vllm-project/vllm/issues/4365,https://github.com/vllm-project/vllm/pull/4389,"[Bug]:  When I specify `max-tokens` and `min-tokens` at the same time, the service reports an error in `_apply_min_tokens_penalty`",medium,Inference/Serving,Crash,Output Processor,Incorrect Conditional Logic,3,11,12,1,603ad8481594321ceae7d54e2c0050b3638c6502
vllm__4422__4451,https://github.com/vllm-project/vllm/issues/4422,https://github.com/vllm-project/vllm/pull/4451,[Bug]: `assert num_new_tokens == 1` fails when `SamplingParams.n` is not `1` and `max_tokens` is large.,medium,Inference/Serving,Crash,Resource Manager,Incorrect Algorithm Implementation,2,29,8,4,6ad58f42c59eaee0a57c89f1feb08757524b93cf
vllm__4742__5178,https://github.com/vllm-project/vllm/issues/4742,https://github.com/vllm-project/vllm/pull/5178,[Bug]: ValueError when using LoRA with CohereForCausalLM model,hard,Inference/Serving,Crash,Model Loader,Incompatible Model,2,52,6,1,856c990041bf6cf4b2397401d4b18531382ecb50
vllm__4756__5169,https://github.com/vllm-project/vllm/issues/4756,https://github.com/vllm-project/vllm/pull/5169,[Bug]: CUDA error when running mistral-7b + lora with tensor_para=8,medium,Inference/Serving,Crash,Resource Manager,Incorrect Multi-device Management,1,13,11,1,519e8e4182af8e25d78b062ba5e613df661e6e5d
vllm__4789__5654,https://github.com/vllm-project/vllm/issues/4789,https://github.com/vllm-project/vllm/pull/5654,[Bug]: Async engine hangs with 0.4.* releases,hard,Inference/Serving,System Hang,Job Manager,Concurrency Issue,2,192,2,3,8a173382c80d6730e1bbc81f932ac3721ab2cd9d
